Knowledge,Platform,Framework,ProgrammingLanguage,Tool
RDDS,nan,nan,nan,nan
DATABASE SYSTEMS,nan,nan,nan,nan
ERD,nan,nan,nan,nan
RDBMS,nan,nan,nan,nan
FILE FORMATS,nan,nan,nan,nan
ETL PROCESS,nan,nan,nan,nan
SOURCES OF DATA,nan,nan,nan,nan
DATA REPOSITORIES,nan,nan,nan,nan
DATA LAKE,nan,nan,nan,nan
RUNTIME ENVIRONMENT,nan,nan,nan,nan
DATA SETS,nan,nan,nan,nan
CRISP-DM,nan,nan,nan,nan
CROSS-INDUSTRY STANDARD PROCESS FOR DATA MINING,nan,nan,nan,nan
DIGITAL TRANSFORMATION,nan,nan,nan,nan
DATA-DRIVEN CULTURE,nan,nan,nan,nan
COMPUTER AND NETWORK SECURITY,nan,nan,nan,nan
NETWORK AND COMPUTER SECURITY,nan,nan,nan,nan
SECURITY MANAGEMENT,nan,nan,nan,nan
INACCESSIBLE DATA,nan,nan,nan,nan
MONOLITHIC ARCHITECTURE,nan,nan,nan,nan
MULTICLOUD ENVIRONMENTS,nan,nan,nan,nan
IBM DATAFIRST,nan,nan,nan,nan
DATA PROTECTION AND PRIVATIZATION,nan,nan,nan,nan
DATA PRIVACY,nan,nan,nan,nan
DATA ANALYSIS REPORT,nan,nan,nan,nan
DATA QUALITY,nan,nan,nan,nan
CLINICAL DATA STANDARDS,nan,nan,nan,nan
HEALTHCARE SYSTEMS,nan,nan,nan,nan
SNOMED,nan,nan,nan,nan
ICD-10,nan,nan,nan,nan
DRUG VOCABULARIES,nan,nan,nan,nan
LOINC,nan,nan,nan,nan
DIGITAL HEALTH DATA SYSTEMS,nan,nan,nan,nan
DIGITAL HEALTH SYSTEMS,nan,nan,nan,nan
DATA LIFE CYCLE,nan,nan,nan,nan
VISUALISATION,nan,nan,nan,nan
DATA PIPELINE,nan,nan,nan,nan
NON-GIS DATA,nan,nan,nan,nan
METADATA,nan,nan,nan,nan
RASTER DATA,nan,nan,nan,nan
DATA LAKES,nan,nan,nan,nan
DATA WAREHOUSE SYSTEM,nan,nan,nan,nan
ROLLUP,nan,nan,nan,nan
CUBE,nan,nan,nan,nan
DATA MARTS,nan,nan,nan,nan
PREDICTIVE,nan,nan,nan,nan
PRESCRIPTIVE,nan,nan,nan,nan
DIAGNOSTIC,nan,nan,nan,nan
DESCRIPTIVE,nan,nan,nan,nan
SIMILAR ALGORITHMIC,nan,nan,nan,nan
MULTIDIMENSIONAL DATA,nan,nan,nan,nan
PRINCIPAL COMPONENTS ANALYSIS,nan,nan,nan,nan
DATA WAREHOUSING ARCHITECTURES,nan,nan,nan,nan
DATA-RELATED,nan,nan,nan,nan
NON-RELATIONAL,nan,nan,nan,nan
RELATIONAL,nan,nan,nan,nan
ANALYTICS,nan,nan,nan,nan
CLOUD DATA SERVICES,nan,nan,nan,nan
APPROPRIATE FUNCTIONS,nan,nan,nan,nan
NAMED RANGES AND TABLES,nan,nan,nan,nan
ANALYSIS,nan,nan,nan,nan
LOGICAL AND LOOKUP FUNCTIONS,nan,nan,nan,nan
PIVOT TABLE,nan,nan,nan,nan
FILTERING,nan,nan,nan,nan
CHARTS,nan,nan,nan,nan
BUSINESS STATISTICS,nan,nan,nan,nan
PIVOT TABLES,nan,nan,nan,nan
ELT,nan,nan,nan,nan
EXTRACT,nan,nan,nan,nan
TRANSFORM,nan,nan,nan,nan
LOAD,nan,nan,nan,nan
ETL,nan,nan,nan,nan
SHELL SCRIPTING,nan,nan,nan,nan
ETHICAL ISSUES,nan,nan,nan,nan
ETHICAL RISKS,nan,nan,nan,nan
ETHICS INITIATIVE,nan,nan,nan,nan
CODE OF ETHICS,nan,nan,nan,nan
ON-PREMISES DATABASE ARCHITECTURES,nan,nan,nan,nan
MIGRATIONS,nan,nan,nan,nan
PATTERN-BASED CLASSIFICATION,nan,nan,nan,nan
BIOMEDICINE,nan,nan,nan,nan
GRAPH DATA,nan,nan,nan,nan
SUBTITLES: ENGLISH,nan,nan,nan,nan
TANGENT LINES,nan,nan,nan,nan
LOGARITHMS,nan,nan,nan,nan
INSTANTANEOUS RATE OF CHANGE,nan,nan,nan,nan
BAYESÍ THEOREM,nan,nan,nan,nan
ALGEBRA WITH INEQUALITIES,nan,nan,nan,nan
VENN DIAGRAMS,nan,nan,nan,nan
PRE-CALCULUS,nan,nan,nan,nan
CARTESIAN (X,nan,nan,nan,nan
Y) PLANE,nan,nan,nan,nan
MATH,nan,nan,nan,nan
DISTANCE FORMULAS,nan,nan,nan,nan
SIGMA NOTATION,nan,nan,nan,nan
ALGEBRA,nan,nan,nan,nan
INTERVAL NOTATION,nan,nan,nan,nan
EXPONENTS,nan,nan,nan,nan
NATURAL LOG FUNCTION,nan,nan,nan,nan
SCIENCE COMMUNICATION,nan,nan,nan,nan
CINEMATIC DESIGN,nan,nan,nan,nan
PIVOT CHARTS,nan,nan,nan,nan
DIGITAL LITERACY,nan,nan,nan,nan
DATA UNDERSTANDING,nan,nan,nan,nan
CLASSIFICATION MODELS,nan,nan,nan,nan
ANALYTIC MODELS,nan,nan,nan,nan
BUSINESS UNDERSTANDING,nan,nan,nan,nan
CROSS INDUSTRY PROCESS FOR DATA MINING,nan,nan,nan,nan
PREDICTION MODEL,nan,nan,nan,nan
CORRELATION STATISTICS,nan,nan,nan,nan
MODELLING,nan,nan,nan,nan
DATA GROUPING,nan,nan,nan,nan
MODERN SOCIETY,nan,nan,nan,nan
FAIR INFORMATION PRACTICES PRINCIPLES ACT,nan,nan,nan,nan
PRINCIPLES OF FAIRNESS,nan,nan,nan,nan
ETHICAL,nan,nan,nan,nan
DATA-DRIVEN INNOVATION,nan,nan,nan,nan
DATA SYSTEMS,nan,nan,nan,nan
PUBLIC HEALTH,nan,nan,nan,nan
DATA VIRTUALIZATION,nan,nan,nan,nan
GRAPH ANALYSIS,nan,nan,nan,nan
LINKING PERCEPTION,nan,nan,nan,nan
COGNITION,nan,nan,nan,nan
BUSINESS MANAGERS,nan,nan,nan,nan
STATISTICAL INFERENCE,nan,nan,nan,nan
DATA DESCRIPTION,nan,nan,nan,nan
DATA LIFECYCLE,nan,nan,nan,nan
MAP CONSTRUCTION,nan,nan,nan,nan
DATA MINING PIPELINE,nan,nan,nan,nan
STRUCTURED STREAMING,nan,nan,nan,nan
BIOLOGICAL SCIENCES,nan,nan,nan,nan
K-MEANS CLUSTERING,nan,nan,nan,nan
BIOMEDICAL,nan,nan,nan,nan
BIOINFORMATICS,nan,nan,nan,nan
BIG DATA SCIENCE,nan,nan,nan,nan
BIOLOGICAL,nan,nan,nan,nan
WAREHOUSES,nan,nan,nan,nan
WAREHOUSE,nan,nan,nan,nan
METHODOLOGICAL APPROACH,nan,nan,nan,nan
DATA LITERACY,nan,nan,nan,nan
DESIGN DECISIONS,nan,nan,nan,nan
ROMANIAN,nan,nan,nan,nan
SIMULATION BASED OPTIMIZATION,nan,nan,nan,nan
PRESCRIPTIVE ANALYTICS,nan,nan,nan,nan
,nan,nan,nan,nan
ANALYSIS OF VARIANCE,nan,nan,nan,nan
CROWDSOURCING,nan,nan,nan,nan
ETHICAL BOUNDARIES OF HACKING,nan,nan,nan,nan
CIA,nan,nan,nan,nan
INFERENTIAL,nan,nan,nan,nan
NETWORK ANALYTICS FOR BUSINESS,nan,nan,nan,nan
DATA AND NETWORK ANALYTICS,nan,nan,nan,nan
PREDICTIVE MODELS,nan,nan,nan,nan
SELECT STATEMENTS,nan,nan,nan,nan
CLOUD STORAGE,nan,nan,nan,nan
FILESYSTEMS,nan,nan,nan,nan
DATA INTEGRATION,nan,nan,nan,nan
DATA LINEAGE,nan,nan,nan,nan
PRIVACY REQUIREMENTS,nan,nan,nan,nan
DATA MANAGEMENT,nan,nan,nan,nan
CLINICAL RESEARCH,nan,nan,nan,nan
GREEN'S THEOREM,nan,nan,nan,nan
SHOELACE THEOREM,nan,nan,nan,nan
LINE INTEGRALS,nan,nan,nan,nan
INTEGRALS,nan,nan,nan,nan
SINGLE-VARIABLE FUNCTION,nan,nan,nan,nan
VECTOR CALCULUS,nan,nan,nan,nan
ALGEBRAIC FUNCTIONS,nan,nan,nan,nan
RATES OF CHANGE,nan,nan,nan,nan
RATIONAL FUNCTIONS,nan,nan,nan,nan
EXPONENTIAL AND LOGARITHMIC FUNCTIONS,nan,nan,nan,nan
POLYNOMIALS,nan,nan,nan,nan
TRIGONOMETRIC AND INVERSE TRIGONOMETRIC FUNCTIONS,nan,nan,nan,nan
THEOREM OF CALCULUS,nan,nan,nan,nan
CALCULATING ACCUMULATION,nan,nan,nan,nan
THE INTEGRAL,nan,nan,nan,nan
DERIVATIVE,nan,nan,nan,nan
SINGLE-VARIABLE AND MULTI-VARIABLE FUNCTIONS,nan,nan,nan,nan
LINEAR APPROXIMATIONS,nan,nan,nan,nan
DERIVATIVES,nan,nan,nan,nan
ESTIMATE FUNCTIONS,nan,nan,nan,nan
NATURAL SCIENCES,nan,nan,nan,nan
TRIGONOMETRIC FUNCTIONS,nan,nan,nan,nan
APPLICATIONS-ORIENTED,nan,nan,nan,nan
EXPONENTIAL,nan,nan,nan,nan
LOGARITHMIC,nan,nan,nan,nan
RATIONAL,nan,nan,nan,nan
MATHEMATICAL,nan,nan,nan,nan
POLYNOMIAL,nan,nan,nan,nan
SINGLE VARIABLE CALCULUS,nan,nan,nan,nan
DEFINITE INTEGRAL,nan,nan,nan,nan
RIEMANN SUMS,nan,nan,nan,nan
MULTIDISCIPLINARY,nan,nan,nan,nan
MEGATRENDS,nan,nan,nan,nan
MULTI-LEVEL PERSPECTIVES,nan,nan,nan,nan
SYSTEMS THINKING,nan,nan,nan,nan
STATISTICAL STUDIES,nan,nan,nan,nan
FREQUENCY,nan,nan,nan,nan
NORMAL DISTRIBUTION,nan,nan,nan,nan
CONFIDENCE INTERVALS,nan,nan,nan,nan
SEMI-STRUCTURED DATA,nan,nan,nan,nan
DATA MANAGEMENT SYSTEMS,nan,nan,nan,nan
BIG DATA MANAGEMENT SYSTEM,nan,nan,nan,nan
MANAGEMENT SYSTEMS,nan,nan,nan,nan
DATABASE MANAGEMENT SYSTEM,nan,nan,nan,nan
BIG DATA INFRASTRUCTURE,nan,nan,nan,nan
INFORMATION SYSTEM,nan,nan,nan,nan
GRAPH ANALYTICS,nan,nan,nan,nan
DATA NETWORK STRUCTURE,nan,nan,nan,nan
GRAPH-STRUCTURED DATA,nan,nan,nan,nan
VÍS OF BIG DATA,nan,nan,nan,nan
BIG DATA ANALYSIS,nan,nan,nan,nan
SOFTWARE,nan,nan,nan,nan
PROFESSIONAL SERVICES,nan,nan,nan,nan
BIG DATA HARDWARE,nan,nan,nan,nan
SPARK,nan,nan,nan,nan
FINANCE,nan,nan,nan,nan
SOCIAL NETWORKS,nan,nan,nan,nan
TELECOMMUNICATIONS,nan,nan,nan,nan
LINGUISTIC ANALYSIS,nan,nan,nan,nan
BIG DATA MANAGEMENT SYSTEMS,nan,nan,nan,nan
BATCH DATA,nan,nan,nan,nan
EXTRACT-LOAD-TRANSFORM,nan,nan,nan,nan
EXTRACT-TRANSFORM-LOAD,nan,nan,nan,nan
EXTRA-LOAD,nan,nan,nan,nan
NLP,nan,nan,nan,nan
NATURAL LANGUAGE PROGRAMMING,nan,nan,nan,nan
PRE-BUILT ALGORITHMS,nan,nan,nan,nan
OPERATING SYSTEM,nan,nan,nan,nan
HARDWARE ISOLATION,nan,nan,nan,nan
KERNEL,nan,nan,nan,nan
TLS KEYS,nan,nan,nan,nan
SOFTWARE-DEVELOPMENT,nan,nan,nan,nan
OS KERNEL,nan,nan,nan,nan
ENCLAVE,nan,nan,nan,nan
ENCLAVE TECHNOLOGIES,nan,nan,nan,nan
SOCIAL MEDIA DATA,nan,nan,nan,nan
TIME SERIES DATA,nan,nan,nan,nan
FORECASTING PROCESS,nan,nan,nan,nan
TRADING ALGORITHM,nan,nan,nan,nan
HYPERPARAMETER TUNING,nan,nan,nan,nan
TREE-BASED MODELS,nan,nan,nan,nan
CROSS-VALIDATION,nan,nan,nan,nan
DESIGN OF EXPERIMENTS,nan,nan,nan,nan
DOE,nan,nan,nan,nan
HASH TABLES,nan,nan,nan,nan
GRAPH PRIMITIVES,nan,nan,nan,nan
DEPTH-FIRST SEARCH,nan,nan,nan,nan
BLOOM FILTERS,nan,nan,nan,nan
SHORTEST PATHS,nan,nan,nan,nan
BALANCED SEARCH TREES,nan,nan,nan,nan
CONNECTIVITY,nan,nan,nan,nan
HEAPS,nan,nan,nan,nan
BREADTH-FIRST,nan,nan,nan,nan
CLINICAL DATA SCIENCE,nan,nan,nan,nan
PARALLEL DATA PROCESSING,nan,nan,nan,nan
DATA EXPLORATION,nan,nan,nan,nan
CLASS HIERARCHY DESIGN,nan,nan,nan,nan
GRAPHS,nan,nan,nan,nan
AUTONOMOUS AGENT,nan,nan,nan,nan
ACCOUNTANCY,nan,nan,nan,nan
BIG DATA LIFE CYCLE,nan,nan,nan,nan
IT SUPPORT,nan,nan,nan,nan
SECURITY BREACHES,nan,nan,nan,nan
JOINT COMMISSION,nan,nan,nan,nan
STARK LAW,nan,nan,nan,nan
HIPAA,nan,nan,nan,nan
PHISHING,nan,nan,nan,nan
RANSOMWARE,nan,nan,nan,nan
